Test Dataset,Model Folder,Model,Loss,Accuracy,Male Accuracy,Female Accuracy
East_Asian_Validation,bias_training_data\bias_Severe_East_Asian_Female_Bias_0.6,bias_training_data\bias_Severe_East_Asian_Female_Bias_0.6\Controlled_Bias_0.6_1_balanced_best.pth,1.6280305443463787,77.03226470947266,90.86229086229086,63.130659767141005
East_Asian_Validation,bias_training_data\bias_Severe_East_Asian_Female_Bias_0.6,bias_training_data\bias_Severe_East_Asian_Female_Bias_0.6\Controlled_Bias_0.6_2_balanced_best.pth,1.8983737814041877,75.22581481933594,93.82239382239382,56.53298835705045
East_Asian_Validation,bias_training_data\bias_Severe_East_Asian_Female_Bias_0.6,bias_training_data\bias_Severe_East_Asian_Female_Bias_0.6\Controlled_Bias_0.6_3_balanced_best.pth,2.0814602690358317,74.96774291992188,94.20849420849422,55.627425614489
East_Asian_Validation,bias_training_data\bias_Severe_East_Asian_Female_Bias_0.6,bias_training_data\bias_Severe_East_Asian_Female_Bias_0.6\Controlled_Bias_0.6_4_balanced_best.pth,1.9125691766796573,76.6451644897461,91.8918918918919,61.319534282018104
East_Asian_Validation,bias_training_data\bias_Severe_East_Asian_Female_Bias_0.6,bias_training_data\bias_Severe_East_Asian_Female_Bias_0.6\Controlled_Bias_0.6_5_balanced_best.pth,2.3173106020881282,76.32258605957031,93.17889317889318,59.37904269081501
East_Asian_Validation,bias_training_data\bias_Severe_East_Asian_Female_Bias_0.6,bias_training_data\bias_Severe_East_Asian_Female_Bias_0.6\Controlled_Bias_0.6_1_unbalanced_best.pth,1.126898329950148,75.61290740966797,77.73487773487774,73.47994825355757
East_Asian_Validation,bias_training_data\bias_Severe_East_Asian_Female_Bias_0.6,bias_training_data\bias_Severe_East_Asian_Female_Bias_0.6\Controlled_Bias_0.6_2_unbalanced_best.pth,1.1071576026562722,75.80645751953125,71.55727155727156,80.07761966364812
East_Asian_Validation,bias_training_data\bias_Severe_East_Asian_Female_Bias_0.6,bias_training_data\bias_Severe_East_Asian_Female_Bias_0.6\Controlled_Bias_0.6_3_unbalanced_best.pth,1.2667795216652655,76.19355010986328,76.19047619047619,76.19663648124192
East_Asian_Validation,bias_training_data\bias_Severe_East_Asian_Female_Bias_0.9,bias_training_data\bias_Severe_East_Asian_Female_Bias_0.9\Controlled_Bias_0.9_1_balanced_best.pth,0.7716890105893535,78.58065032958984,91.24839124839124,65.84734799482536
East_Asian_Validation,bias_training_data\bias_Severe_East_Asian_Female_Bias_0.9,bias_training_data\bias_Severe_East_Asian_Female_Bias_0.9\Controlled_Bias_0.9_2_balanced_best.pth,1.3323206488932333,77.67742156982422,93.30759330759331,61.96636481241915
East_Asian_Validation,bias_training_data\bias_Severe_East_Asian_Female_Bias_0.9,bias_training_data\bias_Severe_East_Asian_Female_Bias_0.9\Controlled_Bias_0.9_3_balanced_best.pth,1.6953838013064477,75.8709716796875,94.07979407979408,57.56791720569211
East_Asian_Validation,bias_training_data\bias_Severe_East_Asian_Female_Bias_0.9,bias_training_data\bias_Severe_East_Asian_Female_Bias_0.9\Controlled_Bias_0.9_4_balanced_best.pth,1.7209426890818342,76.19355010986328,94.72329472329473,57.56791720569211
East_Asian_Validation,bias_training_data\bias_Severe_East_Asian_Female_Bias_0.9,bias_training_data\bias_Severe_East_Asian_Female_Bias_0.9\Controlled_Bias_0.9_5_balanced_best.pth,2.012475289327483,76.19355010986328,93.43629343629344,58.86157826649418
East_Asian_Validation,bias_training_data\bias_Severe_East_Asian_Female_Bias_0.9,bias_training_data\bias_Severe_East_Asian_Female_Bias_0.9\Controlled_Bias_0.9_1_unbalanced_best.pth,0.7615543911533971,78.83871459960938,85.97168597168597,71.66882276843467
East_Asian_Validation,bias_training_data\bias_Severe_East_Asian_Female_Bias_0.9,bias_training_data\bias_Severe_East_Asian_Female_Bias_0.9\Controlled_Bias_0.9_2_unbalanced_best.pth,1.013742222170676,76.25807189941406,79.02187902187903,73.47994825355757
East_Asian_Validation,bias_training_data\bias_Severe_East_Asian_Female_Bias_0.9,bias_training_data\bias_Severe_East_Asian_Female_Bias_0.9\Controlled_Bias_0.9_3_unbalanced_best.pth,1.194771378857474,77.16129302978516,80.3088803088803,73.99741267787839
East_Asian_Validation,bias_training_data\bias_Severe_Black_Bias_0.6,bias_training_data\bias_Severe_Black_Bias_0.6\Controlled_Bias_0.6_1_balanced_best.pth,1.589869333659449,75.80645751953125,70.39897039897039,81.24191461836999
East_Asian_Validation,bias_training_data\bias_Severe_Black_Bias_0.6,bias_training_data\bias_Severe_Black_Bias_0.6\Controlled_Bias_0.6_2_balanced_best.pth,1.9079408498733275,74.70967864990234,65.5083655083655,83.95860284605433
East_Asian_Validation,bias_training_data\bias_Severe_Black_Bias_0.6,bias_training_data\bias_Severe_Black_Bias_0.6\Controlled_Bias_0.6_3_balanced_best.pth,2.0307208038145497,75.61290740966797,67.18146718146718,84.08796895213455
East_Asian_Validation,bias_training_data\bias_Severe_Black_Bias_0.6,bias_training_data\bias_Severe_Black_Bias_0.6\Controlled_Bias_0.6_4_balanced_best.pth,1.8544333545382945,76.25807189941406,68.46846846846847,84.08796895213455
East_Asian_Validation,bias_training_data\bias_Severe_Black_Bias_0.6,bias_training_data\bias_Severe_Black_Bias_0.6\Controlled_Bias_0.6_5_balanced_best.pth,1.9615615429801325,75.93548583984375,72.97297297297297,78.91332470892625
East_Asian_Validation,bias_training_data\bias_Severe_Black_Bias_0.6,bias_training_data\bias_Severe_Black_Bias_0.6\Controlled_Bias_0.6_6_balanced_best.pth,2.0776509864099566,74.25806427001953,68.85456885456885,79.6895213454075
East_Asian_Validation,bias_training_data\bias_Severe_Black_Bias_0.6,bias_training_data\bias_Severe_Black_Bias_0.6\Controlled_Bias_0.6_7_balanced_best.pth,2.0367669221662705,75.03225708007812,67.95366795366795,82.14747736093143
East_Asian_Validation,bias_training_data\bias_Severe_Black_Bias_0.6,bias_training_data\bias_Severe_Black_Bias_0.6\Controlled_Bias_0.6_8_balanced_best.pth,1.927002120940916,75.35484313964844,70.78507078507079,79.94825355756791
East_Asian_Validation,bias_training_data\bias_Severe_Black_Bias_0.6,bias_training_data\bias_Severe_Black_Bias_0.6\Controlled_Bias_0.6_9_balanced_best.pth,1.8054700371241497,75.41935729980469,72.71557271557272,78.13712807244502
East_Asian_Validation,bias_training_data\bias_Severe_Black_Bias_0.6,bias_training_data\bias_Severe_Black_Bias_0.6\Controlled_Bias_0.6_10_balanced_best.pth,2.3260885574548475,74.70967864990234,64.47876447876449,84.99353169469599
East_Asian_Validation,bias_training_data\bias_Severe_Black_Bias_0.6,bias_training_data\bias_Severe_Black_Bias_0.6\Controlled_Bias_0.6_1_unbalanced_best.pth,1.5870572071690714,76.70967864990234,89.96138996138995,63.38939197930142
East_Asian_Validation,bias_training_data\bias_Severe_Black_Bias_0.6,bias_training_data\bias_Severe_Black_Bias_0.6\Controlled_Bias_0.6_2_unbalanced_best.pth,1.617757718447716,76.06452178955078,88.54568854568855,63.518758085381634
East_Asian_Validation,bias_training_data\bias_Severe_Black_Bias_0.6,bias_training_data\bias_Severe_Black_Bias_0.6\Controlled_Bias_0.6_3_unbalanced_best.pth,1.8504565938441984,76.06452178955078,90.21879021879022,61.83699870633894
East_Asian_Validation,bias_training_data\bias_Severe_Black_Bias_0.9,bias_training_data\bias_Severe_Black_Bias_0.9\Controlled_Bias_0.9_1_balanced_best.pth,0.7084377731815461,77.29032897949219,82.4967824967825,72.0569210866753
East_Asian_Validation,bias_training_data\bias_Severe_Black_Bias_0.9,bias_training_data\bias_Severe_Black_Bias_0.9\Controlled_Bias_0.9_2_balanced_best.pth,0.9502371536531756,77.29032897949219,83.91248391248392,70.63389391979301
East_Asian_Validation,bias_training_data\bias_Severe_Black_Bias_0.9,bias_training_data\bias_Severe_Black_Bias_0.9\Controlled_Bias_0.9_3_balanced_best.pth,1.075799627611714,77.29032897949219,75.93307593307593,78.65459249676586
East_Asian_Validation,bias_training_data\bias_Severe_Black_Bias_0.9,bias_training_data\bias_Severe_Black_Bias_0.9\Controlled_Bias_0.9_4_balanced_best.pth,1.037530409088058,76.77420043945312,70.91377091377092,82.66494178525227
East_Asian_Validation,bias_training_data\bias_Severe_Black_Bias_0.9,bias_training_data\bias_Severe_Black_Bias_0.9\Controlled_Bias_0.9_5_balanced_best.pth,1.2133018563255187,76.25807189941406,72.07207207207207,80.46571798188874
East_Asian_Validation,bias_training_data\bias_Severe_Black_Bias_0.9,bias_training_data\bias_Severe_Black_Bias_0.9\Controlled_Bias_0.9_6_balanced_best.pth,1.3251232051849364,76.45161437988281,71.04247104247105,81.88874514877102
East_Asian_Validation,bias_training_data\bias_Severe_Black_Bias_0.9,bias_training_data\bias_Severe_Black_Bias_0.9\Controlled_Bias_0.9_7_balanced_best.pth,1.507372585131276,76.00000762939453,70.14157014157014,81.88874514877102
East_Asian_Validation,bias_training_data\bias_Severe_Black_Bias_0.9,bias_training_data\bias_Severe_Black_Bias_0.9\Controlled_Bias_0.9_8_balanced_best.pth,1.5684562077421333,75.22581481933594,67.56756756756756,82.92367399741268
East_Asian_Validation,bias_training_data\bias_Severe_Black_Bias_0.9,bias_training_data\bias_Severe_Black_Bias_0.9\Controlled_Bias_0.9_9_balanced_best.pth,1.6797193534143509,76.12903594970703,68.5971685971686,83.69987063389392
East_Asian_Validation,bias_training_data\bias_Severe_Black_Bias_0.9,bias_training_data\bias_Severe_Black_Bias_0.9\Controlled_Bias_0.9_10_balanced_best.pth,1.7336535946784482,75.41935729980469,66.40926640926641,84.47606727037517
East_Asian_Validation,bias_training_data\bias_Severe_Black_Bias_0.9,bias_training_data\bias_Severe_Black_Bias_0.9\Controlled_Bias_0.9_1_unbalanced_best.pth,0.9492010765690957,77.16129302978516,91.11969111969111,63.130659767141005
East_Asian_Validation,bias_training_data\bias_Severe_Black_Bias_0.9,bias_training_data\bias_Severe_Black_Bias_0.9\Controlled_Bias_0.9_2_unbalanced_best.pth,1.1366174240650668,77.54839324951172,88.67438867438867,66.36481241914618
East_Asian_Validation,bias_training_data\bias_Severe_Black_Bias_0.9,bias_training_data\bias_Severe_Black_Bias_0.9\Controlled_Bias_0.9_3_unbalanced_best.pth,1.5211718530039633,77.41935729980469,89.57528957528957,65.20051746442432
East_Asian_Validation,bias_training_data\bias_Severe_Male_Gender_0.6,bias_training_data\bias_Severe_Male_Gender_0.6\Controlled_Bias_0.6_1_balanced_best.pth,1.7159265542366813,76.70967864990234,69.36936936936937,84.08796895213455
East_Asian_Validation,bias_training_data\bias_Severe_Male_Gender_0.6,bias_training_data\bias_Severe_Male_Gender_0.6\Controlled_Bias_0.6_2_balanced_best.pth,1.7462486673026316,76.6451644897461,66.15186615186616,87.1927554980595
East_Asian_Validation,bias_training_data\bias_Severe_Male_Gender_0.6,bias_training_data\bias_Severe_Male_Gender_0.6\Controlled_Bias_0.6_3_balanced_best.pth,1.8184455555485142,76.25807189941406,66.02316602316603,86.54592496765846
East_Asian_Validation,bias_training_data\bias_Severe_Male_Gender_0.6,bias_training_data\bias_Severe_Male_Gender_0.6\Controlled_Bias_0.6_4_balanced_best.pth,1.766469000924018,75.8709716796875,65.37966537966537,86.41655886157827
East_Asian_Validation,bias_training_data\bias_Severe_Male_Gender_0.6,bias_training_data\bias_Severe_Male_Gender_0.6\Controlled_Bias_0.6_5_balanced_best.pth,1.7330940761873799,76.70967864990234,71.04247104247105,82.40620957309184
East_Asian_Validation,bias_training_data\bias_Severe_Male_Gender_0.6,bias_training_data\bias_Severe_Male_Gender_0.6\Controlled_Bias_0.6_6_balanced_best.pth,1.7982991422376324,75.54839324951172,63.191763191763194,87.96895213454074
